county,town,village,postcode
Hampshire,Alton,Beech,GU34
Hampshire,Alton,Bradley,GU34
Hampshire,Alton,Chidden,GU34
Hampshire,Alton,Filmore Hill,GU34
Hampshire,Alton,Four Marks,GU34
Hampshire,Alton,Medstead,GU34
Hampshire,Alton,Upper Farringdon,GU34
Hampshire,Andover,Chilbolton,SO20
Hampshire,Andover,Leckford,SO20
Hampshire,Andover,Longstock,SO20
Hampshire,Andover,Middle Wallop,SO20
Hampshire,Andover,Over Wallop,SO20
Hampshire,Andover,Newton Stacey,SP11
Hampshire,Andover,Wherwell,SP11
Hampshire,Winchester,Wield,SO24
Hampshire,Winchester,Brown Candover,SO24
Hampshire,Winchester,Farley Mount,SO21
Hampshire,Basingstoke,Preston Candover,RG25
Hampshire,Fareham,Whiteley,PO15
Hampshire,Farnham,Bordon,GU35
Hampshire,Petersfield,Bordean,GU32
Hampshire,Petersfield,Coombe,GU32
Hampshire,Petersfield,Flexcombe,GU32
Hampshire,Petersfield,High Cross,GU32
Hampshire,Petersfield,Steep,GU32
Hampshire,Petersfield,Steep Marsh,GU32
Hampshire,Petersfield,Stroud,GU32
Hampshire,Alresford,Charlwood,SO24
Hampshire,Petersfield,Colemore,GU34
Hampshire,Petersfield,East Tisted,GU34
Hampshire,Petersfield,Froxfield Green,GU34
Hampshire,Winchester,Monkwood,SO24
Hampshire,Petersfield,Privett,GU34
Hampshire,Petersfield,Selborne,GU34
Hampshire,Petersfield,Bramdean,SO24
Hampshire,Petersfield,Brockwood Park,SO24
Hampshire,Petersfield,Kitwood,SO24
Hampshire,Portsmouth,Southwick,PO17
Hampshire,Romsey,Awbridge,SO51
Hampshire,Romsey,Dunbridge,SO51
Hampshire,Romsey,Lockerley,SO51
Hampshire,Romsey,Sherfield English,SO51
Hampshire,Salisbury,Bramshaw,SO43
Hampshire,Southampton,Chillworth,SO16
Hampshire,Southampton,Ashton,SO32
Hampshire,Southampton,Bishop's Waltham,SO32
Hampshire,Southampton,Droxford,SO32
Hampshire,Southampton,Dundridge,SO32
Hampshire,Southampton,Meonstoke,SO32
Hampshire,Southampton,Soberton,SO32
Hampshire,Southampton,Soberton Heath,SO32
Hampshire,Southampton,Swanmore,SO32
Hampshire,Southampton,Waltham Chase,SO32
Hampshire,Southampton,Lyndhurst,SO43
Hampshire,Southampton,Pucknall,SO51
Hampshire,Stockbridge,Bossington,SO20
Hampshire,Stockbridge,Broughton,SO20
Hampshire,Stockbridge,Nether Wallop,SO20
Hampshire,Waterlooville,Hambledon,PO7
Hampshire,Winchester,East Meon,GU32
Hampshire,Winchester,West Meon,GU32
Hampshire,Winchester,Bentworth,GU34
Hampshire,Winchester,Upper Wield,SO24
Hampshire,Winchester,Ashley,SO20
Hampshire,Winchester,Brook,SO20
Hampshire,Winchester,Chilbolton Down,SO20
Hampshire,Winchester,Houghton,SO20
Hampshire,Winchester,King's Somborne,SO20
Hampshire,Winchester,Little Sombourne,SO20
Hampshire,Romsey,Shootash,SO51
Hampshire,Winchester,Stockbridge,SO20
Hampshire,Winchester,Totford,SO24
Hampshire,Winchester,Up Somborne,SO20
Hampshire,Winchester,Abbotstone,SO24
Hampshire,Winchester,Avington,SO21
Hampshire,Winchester,Barton Stacey,SO21
Hampshire,Winchester,Baybridge,SO21
Hampshire,Winchester,Chilcomb,SO21
Hampshire,Winchester,Colden Common,SO21
Hampshire,Winchester,Compton,SO21
Hampshire,Winchester,Crawley,SO21
Hampshire,Winchester,East Stratton,SO21
Hampshire,Winchester,Easton,SO21
Hampshire,Winchester,Hursley,SO21
Hampshire,Winchester,Itchen Abbas,SO21
Hampshire,Winchester,Lane End,SO21
Hampshire,Winchester,Lower Bullington,SO21
Hampshire,Winchester,Micheldever,SO21
Hampshire,Winchester,Morestead,SO21
Hampshire,Winchester,Otterbourne,SO21
Hampshire,Winchester,Owlsbury,SO21
Hampshire,Winchester,Silkstead,SO21
Hampshire,Winchester,South Wonston,SO21
Hampshire,Winchester,Sparsholt,SO21
Hampshire,Winchester,Stoke Charity,SO21
Hampshire,Winchester,Sutton Scotney,SO21
Hampshire,Winchester,Twyford,SO21
Hampshire,Winchester,West Stratton,SO21
Hampshire,Winchester,Wonston,SO21
Hampshire,Winchester,Worthy Down,SO21
Hampshire,Winchester,Littleton,SO22
Hampshire,Winchester,Kings Worthy,SO23
Hampshire,Winchester,Avington Park,SO21
Hampshire,Winchester,Beauworth,SO24
Hampshire,Winchester,Bighton,SO24
Hampshire,Winchester,Bishop's Sutton,SO24
Hampshire,Winchester,Cheriton,SO24
Hampshire,Winchester,Hinton Ampner,SO24
Hampshire,Winchester,Kilmeston,SO24
Hampshire,Winchester,Northington,SO24
Hampshire,Winchester,Old Alresford,SO24
Hampshire,Winchester,Ovington,SO24
Hampshire,Winchester,Ropley,SO24
Hampshire,Winchester,Shorley,SO24
Hampshire,Winchester,Standon,SO24
Hampshire,Winchester,Tichborne,SO24
Hampshire,Winchester,West Tisted,SO24
Hampshire,Winchester,Preshaw,SO32
Hampshire,Winchester,Upham,SO32
Hampshire,Winchester,Braishfield,SO51
Hampshire,Winchester,Embley,SO51
Hampshire,Winchester,Kimbridge,SO51
Hampshire,Winchester,Michelmersh,SO51
Hampshire,Winchester,Timsbury,SO51
Wiltshire,Salisbury,Sherrington,BA12
Wiltshire,Salisbury,Bishopdown,SP1
Wiltshire,Salisbury,Stratford-sub-Castle,SP1
Wiltshire,Salisbury,Bemerton,SP2
Wiltshire,Salisbury,Burcombe,SP2
Wiltshire,Salisbury,Great Wishford,SP2
Wiltshire,Salisbury,Little Wishford,SP2
Wiltshire,Salisbury,Netherhampton,SP2
Wiltshire,Salisbury,South Newton,SP2
Wiltshire,Salisbury,Stapleford,SP3
Wiltshire,Salisbury,Stoford,SP2
Wiltshire,Salisbury,Wilton,SP2
Wiltshire,Salisbury,Chilmark,SP3
Wiltshire,Salisbury,Dinton,SP3
Wiltshire,Salisbury,Lake,SP4
Wiltshire,Salisbury,Lower Chicksgrove,SP3
Wiltshire,Salisbury,Sutton Mandeville,SP3
Wiltshire,Salisbury,Tisbury,SP3
Wiltshire,Salisbury,Ford,SP4
Wiltshire,Salisbury,Gomeldon,SP4
Wiltshire,Salisbury,Little Durnford,SP4
Wiltshire,Salisbury,Little Langford,SP3
Wiltshire,Salisbury,Middle Woodford,SP4
Wiltshire,Salisbury,Porton Down,SP4
Wiltshire,Salisbury,Steeple Langford,SP3
Wiltshire,Salisbury,Ugford,SP2
Wiltshire,Salisbury,Upper Woodford,SP4
Wiltshire,Salisbury,Winterbourne Earls,SP4
Wiltshire,Salisbury,Winterbourne Gunner,SP4
Wiltshire,Salisbury,Alderbury,SP5
Wiltshire,Salisbury,Barford St Martin,SP5
Wiltshire,Salisbury,Bishopstone,SP5
Wiltshire,Salisbury,Bowerchalke,SP5
Wiltshire,Salisbury,Broad Chalke,SP5
Wiltshire,Salisbury,Charlton All Saints,SP5
Wiltshire,Salisbury,Coombe Bissett,SP5
Wiltshire,Salisbury,Dean Land,SP5
Wiltshire,Salisbury,Downton,SP5
Wiltshire,Salisbury,East Dean,SP5
Wiltshire,Salisbury,East Grimstead,SP5
Wiltshire,Salisbury,East Tytherely,SP5
Wiltshire,Salisbury,Ebbesbourne Wake,SP5
Wiltshire,Salisbury,Ebble,SP5
Wiltshire,Salisbury,Farley,SP5
Wiltshire,Salisbury,Firsdown,SP5
Wiltshire,Salisbury,Hampworth,SP5
Wiltshire,Salisbury,Homington,SP5
Wiltshire,Salisbury,Landford,SP5
Wiltshire,Salisbury,Lanford Wood,SP5
Wiltshire,Salisbury,Lover,SP5
Wiltshire,Salisbury,Mead End,SP5
Wiltshire,Salisbury,Middle Winterslow,SP5
Wiltshire,Salisbury,Newtown,SP5
Wiltshire,Salisbury,Nunton,SP5
Wiltshire,Salisbury,Odstock,SP5
Wiltshire,Salisbury,Pitton,SP5
Wiltshire,Salisbury,Plaitford Green,SP5
Wiltshire,Salisbury,Redlynch,SP5
Wiltshire,Salisbury,Ridge,SP5
Wiltshire,Salisbury,West Dean,SP5
Wiltshire,Salisbury,West Grimstead,SP5
Wiltshire,Salisbury,West Tytherely,SP5
Wiltshire,Salisbury,West Winterslow,SP5
Wiltshire,Salisbury,Whiteparish,SP5
Wiltshire,Salisbury,Witherington,SP5
Wiltshire,Salisbury,Woodminton,SP5
Wiltshire,Salisbury,Breamore,SP6
Wiltshire,Salisbury,Whitsbury,SP6
